# Pattern Generator 黃金基線 (golden baseline)
# 來源版本 : pattern.html v1.9.0  commit 085955f  md5 71b915c31254e4463bdf258c1a69502f
# 產生日期 : 2026-08-02
# 組成     : 34 畫面 x 3 尺寸 x 反相 2 態 = 204 組
# 尺寸     : 固定「裝置像素」，與執行環境的 devicePixelRatio / 螢幕無關，任何機器可重現
# 雜湊     : 整張 canvas 的 Uint32Array 逐像素 FNV-1a (32-bit)，非抽樣
# 格式     : 畫面id|寬x高|反相|雜湊
# 驗證     : 產生後整批重跑一次，204 組 0 差異；每筆均驗證 canvas 實際尺寸符合目標 (0 筆不符)
# 注意     : 跑比對時分頁必須在前景，背景會被 setTimeout 節流 140 倍
horiz9|3840x2160|0|ff928af5
horiz9|3840x2160|1|4d5506c5
horiz64|3840x2160|0|58757505
horiz64|3840x2160|1|64b39d05
horiz256|3840x2160|0|d5a08dc5
horiz256|3840x2160|1|bcdc65c5
vert9|3840x2160|0|07f99dc5
vert9|3840x2160|1|8c7a5dc5
vert64|3840x2160|0|b8074f45
vert64|3840x2160|1|4e98fbc5
vert256|3840x2160|0|1e8e71c5
vert256|3840x2160|1|c5f621c5
center9|3840x2160|0|132c0b05
center9|3840x2160|1|132c0b05
center64|3840x2160|0|d2c2b00d
center64|3840x2160|1|d2c2b00d
center256|3840x2160|0|0b0fb385
center256|3840x2160|1|0b0fb385
gray|3840x2160|0|a53e4dc5
gray|3840x2160|1|a53e4dc5
skip1_1v1h|3840x2160|0|26269dc5
skip1_1v1h|3840x2160|1|61a69dc5
skip1_1v2h|3840x2160|0|ee6b55c5
skip1_1v2h|3840x2160|1|14bbcdc5
skip2_2v1h|3840x2160|0|c7669dc5
skip2_2v1h|3840x2160|1|af669dc5
skip2_2v2h|3840x2160|0|58a915c5
skip2_2v2h|3840x2160|1|3af915c5
skip2_2v12h|3840x2160|0|bb669dc5
skip2_2v12h|3840x2160|1|9ac69dc5
skipsub|3840x2160|0|6d0fddc5
skipsub|3840x2160|1|f7e0ddc5
hline1|3840x2160|0|e45315c5
hline1|3840x2160|1|f13815c5
hline2|3840x2160|0|def315c5
hline2|3840x2160|1|d6f215c5
vline1|3840x2160|0|e57a7dc5
vline1|3840x2160|1|8686bdc5
vline2|3840x2160|0|9ee2f5c5
vline2|3840x2160|1|3fb035c5
vsubline|3840x2160|0|0b867dc5
vsubline|3840x2160|1|04a33dc5
crosstalk|3840x2160|0|feb31e05
crosstalk|3840x2160|1|feb31e05
xy|3840x2160|0|e26e77a8
xy|3840x2160|1|b7cef6a8
aligncenter|3840x2160|0|3c4fc8ed
aligncenter|3840x2160|1|3c4fc8ed
colortest|3840x2160|0|8f7575c5
colortest|3840x2160|1|07c06345
flicker1|3840x2160|0|07d215c5
flicker1|3840x2160|1|ab3415c5
flicker2|3840x2160|0|16d615c5
flicker2|3840x2160|1|e1c015c5
checker|3840x2160|0|ee7215c5
checker|3840x2160|1|107215c5
character|3840x2160|0|123f6119
character|3840x2160|1|123f6119
lum_compare|3840x2160|0|18b1e2a1
lum_compare|3840x2160|1|18b1e2a1
lum_divide|3840x2160|0|93441413
lum_divide|3840x2160|1|93441413
resptime|3840x2160|0|e521ddc5
resptime|3840x2160|1|e521ddc5
smpte|3840x2160|0|44e8ef45
smpte|3840x2160|1|bdcbab8d
skip1dot2gray|3840x2160|0|ddc36dc5
skip1dot2gray|3840x2160|1|c7c0cdc5
horiz9|2560x1440|0|e5d8df05
horiz9|2560x1440|1|a6b75dc5
horiz64|2560x1440|0|f1073dc5
horiz64|2560x1440|1|b6f8cbc5
horiz256|2560x1440|0|bab29dc5
horiz256|2560x1440|1|c8825dc5
vert9|2560x1440|0|a9759dc5
vert9|2560x1440|1|4c959dc5
vert64|2560x1440|0|70039dc5
vert64|2560x1440|1|d1bc7fc5
vert256|2560x1440|0|b51869c5
vert256|2560x1440|1|73ef29c5
center9|2560x1440|0|7c1839c5
center9|2560x1440|1|7c1839c5
center64|2560x1440|0|4932e245
center64|2560x1440|1|4932e245
center256|2560x1440|0|b9ab05c5
center256|2560x1440|1|b9ab05c5
gray|2560x1440|0|6fb75dc5
gray|2560x1440|1|6fb75dc5
skip1_1v1h|2560x1440|0|ad049dc5
skip1_1v1h|2560x1440|1|9f049dc5
skip1_1v2h|2560x1440|0|26077dc5
skip1_1v2h|2560x1440|1|c1849dc5
skip2_2v1h|2560x1440|0|9f6c9dc5
skip2_2v1h|2560x1440|1|d03c9dc5
skip2_2v2h|2560x1440|0|2f9b7dc5
skip2_2v2h|2560x1440|1|9eb67dc5
skip2_2v12h|2560x1440|0|97249dc5
skip2_2v12h|2560x1440|1|2be49dc5
skipsub|2560x1440|0|b6379dc5
skipsub|2560x1440|1|f8bd9dc5
hline1|2560x1440|0|52097dc5
hline1|2560x1440|1|22c27dc5
hline2|2560x1440|0|95137dc5
hline2|2560x1440|1|e2ee7dc5
vline1|2560x1440|0|87441dc5
vline1|2560x1440|1|cf771dc5
vline2|2560x1440|0|b50afdc5
vline2|2560x1440|1|b8a1fdc5
vsubline|2560x1440|0|681b1dc5
vsubline|2560x1440|1|97701dc5
crosstalk|2560x1440|0|45d556c5
crosstalk|2560x1440|1|45d556c5
xy|2560x1440|0|e2215aa8
xy|2560x1440|1|c79104a8
aligncenter|2560x1440|0|5408d850
aligncenter|2560x1440|1|5408d850
colortest|2560x1440|0|cef57dc5
colortest|2560x1440|1|f74c1205
flicker1|2560x1440|0|340f7dc5
flicker1|2560x1440|1|498e7dc5
flicker2|2560x1440|0|31ab7805
flicker2|2560x1440|1|707b2985
checker|2560x1440|0|437b7dc5
checker|2560x1440|1|3b7b7dc5
character|2560x1440|0|928d3e75
character|2560x1440|1|928d3e75
lum_compare|2560x1440|0|819131e9
lum_compare|2560x1440|1|819131e9
lum_divide|2560x1440|0|e6b992fd
lum_divide|2560x1440|1|e6b992fd
resptime|2560x1440|0|5fc99dc5
resptime|2560x1440|1|5fc99dc5
smpte|2560x1440|0|48ae7a05
smpte|2560x1440|1|8f5241f5
skip1dot2gray|2560x1440|0|3d75ddc5
skip1dot2gray|2560x1440|1|e08f5dc5
horiz9|1920x1080|0|33544045
horiz9|1920x1080|1|6f07ee8d
horiz64|1920x1080|0|f9e1e805
horiz64|1920x1080|1|816b3ca5
horiz256|1920x1080|0|71039dc5
horiz256|1920x1080|1|47678dc5
vert9|1920x1080|0|eb3bedc5
vert9|1920x1080|1|a936edc5
vert64|1920x1080|0|42dfc885
vert64|1920x1080|1|2f744ac5
vert256|1920x1080|0|a944afc5
vert256|1920x1080|1|4f805bc5
center9|1920x1080|0|d61f0d85
center9|1920x1080|1|d61f0d85
center64|1920x1080|0|0ed680ed
center64|1920x1080|1|0ed680ed
center256|1920x1080|0|f5956be5
center256|1920x1080|1|f5956be5
gray|1920x1080|0|655909c5
gray|1920x1080|1|655909c5
skip1_1v1h|1920x1080|0|8b811dc5
skip1_1v1h|1920x1080|1|02711dc5
skip1_1v2h|1920x1080|0|be49fbc5
skip1_1v2h|1920x1080|1|08c171c5
skip2_2v1h|1920x1080|0|083a1dc5
skip2_2v1h|1920x1080|1|64be1dc5
skip2_2v2h|1920x1080|0|ed9d3fc5
skip2_2v2h|1920x1080|1|b8be0bc5
skip2_2v12h|1920x1080|0|c12125c5
skip2_2v12h|1920x1080|1|3a41d1c5
skipsub|1920x1080|0|5fbb2dc5
skipsub|1920x1080|1|1f1f2dc5
hline1|1920x1080|0|5413fbc5
hline1|1920x1080|1|8417fbc5
hline2|1920x1080|0|cca7fbc5
hline2|1920x1080|1|5acdfbc5
vline1|1920x1080|0|872a95c5
vline1|1920x1080|1|27efa5c5
vline2|1920x1080|0|572c73c5
vline2|1920x1080|1|3a4e83c5
vsubline|1920x1080|0|f8ed15c5
vsubline|1920x1080|1|04a745c5
crosstalk|1920x1080|0|7eba9fd5
crosstalk|1920x1080|1|7eba9fd5
xy|1920x1080|0|f25a5428
xy|1920x1080|1|acb3d3a8
aligncenter|1920x1080|0|0d8de0fd
aligncenter|1920x1080|1|0d8de0fd
colortest|1920x1080|0|a2f087c5
colortest|1920x1080|1|70710605
flicker1|1920x1080|0|78b3fbc5
flicker1|1920x1080|1|f707fbc5
flicker2|1920x1080|0|23d3fbc5
flicker2|1920x1080|1|9a43fbc5
checker|1920x1080|0|9561fbc5
checker|1920x1080|1|42e1fbc5
character|1920x1080|0|ba615a81
character|1920x1080|1|ba615a81
lum_compare|1920x1080|0|36e42b79
lum_compare|1920x1080|1|36e42b79
lum_divide|1920x1080|0|7a073dfa
lum_divide|1920x1080|1|7a073dfa
resptime|1920x1080|0|429dedc5
resptime|1920x1080|1|429dedc5
smpte|1920x1080|0|1e642345
smpte|1920x1080|1|e4d0b079
skip1dot2gray|1920x1080|0|dd5dd1c5
skip1dot2gray|1920x1080|1|0465a9c5
